Optimal Path Found. Time elapsed is 12.544470 seconds. 
Node ID: 46920749 	 Lat: 41.267282  | Long: 1.958773  | Distance: 24042.993373 
 
Node ID: 243493995 	 Lat: 41.267112  | Long: 1.957094  | Distance: 24184.580685 
 
Node ID: 206963832 	 Lat: 41.266415  | Long: 1.951515  | Distance: 24657.275893 
 
Node ID: 46920701 	 Lat: 41.265618  | Long: 1.945026  | Distance: 25206.828736 
 
Node ID: 46920696 	 Lat: 41.264560  | Long: 1.936512  | Distance: 25928.133235 
 
Node ID: 206963831 	 Lat: 41.264296  | Long: 1.935215  | Distance: 26040.385728 
 
Node ID: 206963830 	 Lat: 41.263928  | Long: 1.933817  | Distance: 26164.263683 
 
Node ID: 206963829 	 Lat: 41.262941  | Long: 1.930752  | Distance: 26442.908953 
 
Node ID: 279742781 	 Lat: 41.262815  | Long: 1.930347  | Distance: 26479.596775 
 
Node ID: 1125509482 	 Lat: 41.262532  | Long: 1.929423  | Distance: 26562.926283 
 
Node ID: 1125509538 	 Lat: 41.262294  | Long: 1.928631  | Distance: 26634.274676 
 
Node ID: 1125509645 	 Lat: 41.262129  | Long: 1.928013  | Distance: 26689.095563 
 
Node ID: 46920686 	 Lat: 41.261873  | Long: 1.926992  | Distance: 26779.077954 
 
Node ID: 1125509516 	 Lat: 41.261782  | Long: 1.926595  | Distance: 26813.750531 
 
Node ID: 1125509556 	 Lat: 41.261083  | Long: 1.923580  | Distance: 27077.409297 
 
Node ID: 1125509693 	 Lat: 41.260186  | Long: 1.921412  | Distance: 27284.308787 
 
Node ID: 1125509513 	 Lat: 41.259821  | Long: 1.920745  | Distance: 27353.277437 
 
Node ID: 46920679 	 Lat: 41.258811  | Long: 1.918642  | Distance: 27561.893452 
 
Node ID: 1125509469 	 Lat: 41.256157  | Long: 1.911359  | Distance: 28238.430199 
 
Node ID: 1125509504 	 Lat: 41.256038  | Long: 1.910674  | Distance: 28297.170942 
 
Node ID: 1125509534 	 Lat: 41.255859  | Long: 1.909414  | Distance: 28404.409730 
 
Node ID: 46920675 	 Lat: 41.255707  | Long: 1.908121  | Distance: 28513.825966 
 
Node ID: 528908100 	 Lat: 41.255581  | Long: 1.907359  | Distance: 28579.041104 
 
Node ID: 528908099 	 Lat: 41.255408  | Long: 1.906230  | Distance: 28675.373139 
 
Node ID: 528908114 	 Lat: 41.255214  | Long: 1.905043  | Distance: 28776.919346 
 
Node ID: 528908115 	 Lat: 41.255087  | Long: 1.904485  | Distance: 28825.569165 
 
Node ID: 528908120 	 Lat: 41.254911  | Long: 1.903947  | Distance: 28874.640667 
 
Node ID: 1125509520 	 Lat: 41.254640  | Long: 1.903186  | Distance: 28945.074025 
 
Node ID: 528908098 	 Lat: 41.254316  | Long: 1.902440  | Distance: 29017.047280 
 
Node ID: 1125509551 	 Lat: 41.253086  | Long: 1.900353  | Distance: 29238.703974 
 
Node ID: 493876704 	 Lat: 41.251990  | Long: 1.898145  | Distance: 29459.911685 
 
Node ID: 46920665 	 Lat: 41.248193  | Long: 1.887228  | Distance: 30465.494381 
 
Node ID: 46920658 	 Lat: 41.245190  | Long: 1.877477  | Distance: 31346.486013 
 
Node ID: 46920652 	 Lat: 41.242949  | Long: 1.867534  | Distance: 32214.371878 
 
Node ID: 46920645 	 Lat: 41.240548  | Long: 1.861630  | Distance: 32775.636165 
 
Node ID: 46920641 	 Lat: 41.235980  | Long: 1.849654  | Distance: 33898.386080 
 
Node ID: 46920617 	 Lat: 41.235849  | Long: 1.840976  | Distance: 34624.183628 
 
Node ID: 46920629 	 Lat: 41.236066  | Long: 1.833765  | Distance: 35227.683168 
 
Node ID: 46920613 	 Lat: 41.237693  | Long: 1.827644  | Distance: 35770.504542 
 
Node ID: 1422370776 	 Lat: 41.237654  | Long: 1.823934  | Distance: 36080.811536 
 
Node ID: 1170456908 	 Lat: 41.237427  | Long: 1.820208  | Distance: 36393.315268 
 
Node ID: 46920603 	 Lat: 41.237452  | Long: 1.818820  | Distance: 36509.433017 
 
Node ID: 1422370788 	 Lat: 41.237883  | Long: 1.816405  | Distance: 36716.978678 
 
Node ID: 420200118 	 Lat: 41.238914  | Long: 1.811332  | Distance: 37156.351849 
 
Node ID: 46920597 	 Lat: 41.239249  | Long: 1.809598  | Distance: 37306.067695 
 
Node ID: 420210359 	 Lat: 41.239372  | Long: 1.807830  | Distance: 37454.553331 
 
Node ID: 374309863 	 Lat: 41.239367  | Long: 1.806647  | Distance: 37553.495781 
 
Node ID: 374304785 	 Lat: 41.239370  | Long: 1.806448  | Distance: 37570.129594 
 
Node ID: 374292155 	 Lat: 41.239394  | Long: 1.805179  | Distance: 37676.237746 
 
Node ID: 46920581 	 Lat: 41.239223  | Long: 1.803771  | Distance: 37795.477768 
 
Node ID: 374311239 	 Lat: 41.238890  | Long: 1.802532  | Distance: 37905.529698 
 
Node ID: 374310349 	 Lat: 41.238242  | Long: 1.800750  | Distance: 38071.017274 
 
Node ID: 374332822 	 Lat: 41.238031  | Long: 1.800198  | Distance: 38122.816359 
 
Node ID: 46920591 	 Lat: 41.235307  | Long: 1.792991  | Distance: 38797.261138 
 
Node ID: 663771881 	 Lat: 41.234980  | Long: 1.792438  | Distance: 38856.154168 
 
Node ID: 663771880 	 Lat: 41.234775  | Long: 1.792092  | Distance: 38892.934136 
 
Node ID: 46920574 	 Lat: 41.231142  | Long: 1.785999  | Distance: 39543.188713 
 
Node ID: 420376551 	 Lat: 41.229680  | Long: 1.783827  | Distance: 39786.930123 
 
Node ID: 420376552 	 Lat: 41.228683  | Long: 1.782197  | Distance: 39962.612141 
 
Node ID: 46920562 	 Lat: 41.225891  | Long: 1.777858  | Distance: 40440.134120 
 
Node ID: 420433401 	 Lat: 41.223916  | Long: 1.774611  | Distance: 40789.418820 
 
Node ID: 46920551 	 Lat: 41.222864  | Long: 1.772560  | Distance: 40997.045155 
 
Node ID: 420433399 	 Lat: 41.221767  | Long: 1.768932  | Distance: 41324.046768 
 
Node ID: 504894368 	 Lat: 41.220431  | Long: 1.763605  | Distance: 41793.757297 
 
Node ID: 504894355 	 Lat: 41.220001  | Long: 1.761400  | Distance: 41984.205199 
 
Node ID: 46920545 	 Lat: 41.219882  | Long: 1.760359  | Distance: 42072.329584 
 
Node ID: 1300507865 	 Lat: 41.219844  | Long: 1.759460  | Distance: 42147.649568 
 
Node ID: 1300507870 	 Lat: 41.219853  | Long: 1.758563  | Distance: 42222.671931 
 
Node ID: 504894339 	 Lat: 41.219946  | Long: 1.756745  | Distance: 42375.070277 
 
Node ID: 504894340 	 Lat: 41.220097  | Long: 1.755168  | Distance: 42507.989413 
 
Node ID: 46920537 	 Lat: 41.220166  | Long: 1.753750  | Distance: 42626.908234 
 
Node ID: 504894329 	 Lat: 41.219961  | Long: 1.751479  | Distance: 42818.185255 
 
